source	target	value
U of Hohenheim	Deutsche Gesellschaft fur Publizistik	1
U of Hohenheim	Universitaet Hohenheim	1
Chungbuk National U	Chungbuk National U	1
Chungbuk National U	Ohio State U	1
Chungbuk National U	Inha U	1
U del Este-Sistema Ana G. Méndez	U del Este-Sistema Ana G. Méndez	1
RMIT U	The College of New Jersey	1
RMIT U	Media Science	1
RMIT U	Murdoch U	2
RMIT U	RMIT U	1
U Oberta Catalunya	U Oberta Catalunya	1
U Oberta Catalunya	U of California - Santa Barbara	1
U Oberta Catalunya	U of Hawaii at Manoa	1
U of Denver	AIDS Help Inc.	1
U of Denver	Tulane U	1
U of Denver	Camp Rehoboth	1
U of Denver	Medical College of Wisconsin	1
U of Denver	U of Denver	14
U of Denver	U of Colorado - Denver	1
U of Denver	George Washington U	1
U of Denver	Virginia Commonwealth U	3
U of Denver	NO/AIDS Task Force	2
Hebrew U and Ono Academic Colledge	Hebrew U of Jerusalem	2
Hebrew U and Ono Academic Colledge	Hebrew U and Ono Academic Colledge	3
U at Buffalo	Texas Tech U	2
U at Buffalo	U of Buffalo - SUNY	11
U at Buffalo	U at Buffalo	28
U at Buffalo	U at Buffalo-SUNY	3
U at Buffalo	U at Buffalo State U of New York	6
U at Buffalo	U At Buffalo	6
U at Buffalo	SUNY Oneonta	3
Netanya Academic College	Hebrew U of Jerusalem	1
Netanya Academic College	Hebrew U	1
Netanya Academic College	Netanya Academic College	2
Winona State U	Winona State U	1
Macau U of Science  and  Technology	Macau U of Science  and  Technology	1
U of Central Florida	U of Central Florida	32
U of Central Florida	Georgia Regents U	1
U of Central Florida	Florida Maxima	12
Yonsei U	Howard U	1
Yonsei U	Yonsei U	26
Yonsei U	Purdue U	1
Yonsei U	U of Pennsylvania	4
Yonsei U	U of Wisconsin-Milwaukee	2
California College of the Arts	California College of the Arts	1
U of Missouri - Columbia	U of Iowa	2
U of Missouri - Columbia	U of Missouri	4
U of Missouri - Columbia	U of Missouri - Columbia	7
California State U - San Bernardino	California State U - San Bernardino	3
California State U - San Bernardino	Koc U	1
California State U - San Bernardino	National School of Political and Administrative Studies	1
California State U - San Bernardino	Educons U	1
U of Applied Sciences HTW Chur	U of Fribourg	1
U of Applied Sciences HTW Chur	U of Zurich	1
U of Applied Sciences HTW Chur	U of Applied Sciences HTW Chur	1
Hankuk U of Foreign Studies	Hankuk U of Foreign Studies	1
Hankuk U of Foreign Studies	Ball State U	1
Hankuk U of Foreign Studies	Seoul National U	1
U of South Florida	Trinity U	1
U of South Florida	U of South Florida	15
U of Leicester	U of Leicester	5
U of Leicester	Agency for Science Technology and Research	2
U of Leicester	Goldsmiths U of London	1
U of Leicester	U of the Philippines	2
U of Leicester	Goldsmiths College U of London	1
Illinois Institute of Technology	Illinois Institute of Technology	5
Indiana U East	Indiana U East	1
Indiana U East	Florida Southern College	1
Stockholm U; Royal Institute of Technology(KTH)	Stockholm U; Royal Institute of Technology(KTH)	1
U of  Mannheim	U Mannheim	2
U of  Mannheim	U of Illinois	2
U of  Mannheim	U of  Mannheim	2
Internet Interdisciplinary Institute UOC	Internet Interdisciplinary Institute UOC	1
Sun Yat-sen U	Sun Yat-sen U	3
Sun Yat-sen U	The Chinese U of Hong Kong	1
Sun Yat-sen U	Chinese U of Hong Kong	1
Sun Yat-sen U	Hong Kong Polytechnic U	1
Pontificia Universidad Catolica de Chile Universidad Finis Terrae Universidad del Desarrollo	Pontificia Universidad Catolica de Chile Universidad Finis Terrae Universidad del Desarrollo	1
The U of Southern Mississippi	U of Southern Mississippi	1
The U of Southern Mississippi	The U of Southern Mississippi	1
Westfaelische Wilhelms-U Muenster	Westfaelische Wilhelms-U Muenster	2
Westfaelische Wilhelms-U Muenster	Westfaelische Wilhelms-Universitaet Muenster	4
U Ottawa	U Ottawa	2
Allegheny College	Allegheny College	2
U of Buffalo - SUNY	U of Buffalo - SUNY	27
U of Buffalo - SUNY	U of Illinois at Urbana–Champaign	1
U of Buffalo - SUNY	U of Texas at Austin	3
U of Buffalo - SUNY	U of Buffalo	1
U of Buffalo - SUNY	U at Buffalo	11
U of Buffalo - SUNY	U at Buffalo-SUNY	4
U of Buffalo - SUNY	U of North Carolina - Chapel Hill	2
U of Buffalo - SUNY	U at Buffalo State U of New York	2
U of Buffalo - SUNY	SUNY College of Environmental Science  and  Forestry	2
U of Buffalo - SUNY	U of California - Santa Barbara	2
U of Buffalo - SUNY	Hocking College	1
U of Buffalo - SUNY	U At Buffalo	2
U of Buffalo - SUNY	SUNY Oneonta	1
U of Buffalo - SUNY	SUNY - Buffalo	2
U of Buffalo - SUNY	U of Illinois at Urbana-Champaign	1
U of Buffalo - SUNY	U of Texas - Austin	1
Queens College - CUNY	Queens College - CUNY	1
Universidad AutÃ³noma de QuerÃ©taro	U Autónoma del Estado de Morelos	1
Universidad AutÃ³noma de QuerÃ©taro	Universidad AutÃ³noma de QuerÃ©taro	1
U of Bremen - ZeMKI	U of Bremen - ZeMKI	9
Pomona College	Cornell U	1
Pomona College	Pomona College	1
Annenberg School for Communication/U of Pennsylvania	Annenberg School for Communication/U of Pennsylvania	1
Aalto U	Rutgers U	2
Aalto U	Rutgers	2
Aalto U	Aalto U	6
Aalto U	U of California - Santa Barbara	2
U of Colorado -- Boulder	U of Colorado -- Boulder	1
U of Santo Tomas	U of Santo Tomas	1
Universidad del Norte	U of Salamanca	1
Universidad del Norte	Universidad del Norte	1
Arcode Corporation	Loyola U Maryland	1
Arcode Corporation	Arcode Corporation	1
Aristotle U of Thessaloniki	U of Malaga	2
Aristotle U of Thessaloniki	Aristotle U of Thessaloniki	4
Aristotle U of Thessaloniki	U Rey Juan Carlos	2
Aristotle U of Thessaloniki	Democritus U of Thrace	2
U of East Anglia	U of East Anglia	1
U de Puerto Rico	U de Puerto Rico	2
U of Florida	Arizona State U	1
U of Florida	Ohio State U	6
U of Florida	U of Tennessee	2
U of Florida	Imperial College London	1
U of Florida	The Chinese U of Hong Kong	1
U of Florida	Syracuse U	4
U of Florida	Marist College	1
U of Florida	U of California Santa Barbara	2
U of Florida	U of Florida	30
U of Florida	U of Arizona	4
U of Florida	Salem State U	1
U of Florida	The U of Oklahoma	1
U of Florida	Cornell U	2
U of Florida	U of Oklahoma	15
Sungkyunkwan U	Sungkyunkwan U	47
U of Iowa	Syracuse U	1
U of Iowa	U of Missouri	2
U of Iowa	Wake Forest U	2
U of Iowa	U of California - Santa Barbara	1
U of Iowa	George Mason U	1
U of Iowa	U of Missouri - Columbia	2
U of Iowa	Arizona State U	1
U of Iowa	Miami U	1
U of Iowa	Hebrew U	1
U of Iowa	Michigan State U	4
U of Iowa	Iowa State U	1
U of Iowa	U of Connecticut	1
U of Iowa	U of Iowa	40
U of Iowa	Pennsylvania State U	2
Johannes Gutenberg U	LMU Munich	2
Johannes Gutenberg U	Johannes Gutenberg U	10
Johannes Gutenberg U	U of Vienna	2
Johannes Gutenberg U	U of Mainz	11
Johannes Gutenberg U	Augsburg U	1
Universidade de Sorocaba - SP (Brazil)	Universidade de Sorocaba - SP (Brazil)	1
Illinois State	Illinois State	1
Camp Rehoboth	Tulane U	1
Camp Rehoboth	AIDS Help Inc.	1
Camp Rehoboth	Camp Rehoboth	1
Camp Rehoboth	Medical College of Wisconsin	1
Camp Rehoboth	U of Denver	1
Camp Rehoboth	U of Colorado - Denver	1
Camp Rehoboth	Virginia Commonwealth U	3
Camp Rehoboth	NO/AIDS Task Force	2
Southern Methodist U	Southern Methodist U	5
Southern Methodist U	Massey U	2
Southern Methodist U	Oklahoma State U-Tulsa	1
Amsterdam School of Communication Research	U of Amsterdam ASCOR	2
Amsterdam School of Communication Research	Rutgers WPF	1
Amsterdam School of Communication Research	U of Amsterdam	7
Amsterdam School of Communication Research	Nanyang Technological U	1
Amsterdam School of Communication Research	Amsterdam School of Communication Research	7
Amsterdam School of Communication Research	ASCoR U of Amsterdam	2
Amsterdam School of Communication Research	Netherlands Youth Institute/Erasmus U Rotterdam	1
U Autónoma de Baja California	U Autónoma de Baja California	9
Minnesota State U Mankato	The Ohio State U	1
Minnesota State U Mankato	U of Cincinnati	1
Minnesota State U Mankato	U of Minnesota	1
Minnesota State U Mankato	Ohio State U	1
Minnesota State U Mankato	Minnesota State U Mankato	1
Rissho U	National Institute of Advanced Industrial Science and Technology	1
Rissho U	Rissho U	1
Rissho U	the Graduate U for Advanced Studies	1
Rissho U	National Institute of Informatics Japan	1
U del Este	U del Este	2
U del Este	U of Puerto Rico Río Piedras Campus	2
U del Este	Johannes Kepler U	1
U of Canberra	Deakin U	1
U of Canberra	U of Canberra	2
U of Canberra	U of Wollongong	1
Tsinghua U	Tsinghua U	2
Tsinghua U	U of Southern California	1
U of Colorado at Boulder	U of Colorado at Boulder	1
Bryant U	Bryant U	1
SUNY College of Environmental Science  and  Forestry	SUNY College of Environmental Science  and  Forestry	2
SUNY College of Environmental Science  and  Forestry	U of Buffalo - SUNY	2
National Center for Ecological Analysis and Synthesis U of California	U of California - Santa Barbara	1
National Center for Ecological Analysis and Synthesis U of California	National Center for Ecological Analysis and Synthesis U of California	1
SUNY - Buffalo	U of Buffalo - SUNY	2
SUNY - Buffalo	SUNY - Buffalo	4
SUNY - Buffalo	SUNY-Buffalo	2
SUNY - Buffalo	U at Buffalo State U of New York	2
San Francisco State U	San Francisco State U	1
London School of Economics	London School of Economics	1
Towson U	Loyola U Maryland	2
Towson U	Florida International U	1
Towson U	Towson U	10
Towson U	St. Norbert College	2
Towson U	Claflin U	1
Towson U	Pennsylvania State U	2
U of Leipzig	U of Leipzig	4
U of KwaZulu-Natal	U of KwaZulu-Natal	1
U of California Santa Barbara	Arizona State U	1
U of California Santa Barbara	U of California - Santa Barbara	12
U of California Santa Barbara	Imperial College London	1
U of California Santa Barbara	U of California Santa Barbara	13
U of California Santa Barbara	Copenhagen Business School	1
U of California Santa Barbara	U of Florida	2
U of California Santa Barbara	U of Arizona	5
U of California Santa Barbara	Salem State U	1
U of California Santa Barbara	The U of Oklahoma	1
U of California Santa Barbara	U of Oklahoma	26
Universidad del Este	Universidad del Este	1
U of Jyvaskyla	Jyvaskyla	3
U of Jyvaskyla	U of Jyvaskyla	9
North Carolina A and T State U	North Carolina Agricultural and Technical State U	1
North Carolina A and T State U	North Carolina A and T State U	1
Technische U Chemnitz	Tübingen U	2
Technische U Chemnitz	Technische U Chemnitz	5
Technische U Chemnitz	Humboldt U Berlin	1
Technische U Chemnitz	Technische Universitaet Chemnitz / HIIG	3
Wellesley College	Wellesley College	9
Duquense U	Duquense U	9
U of Michigan Ann Arbor	U of Michigan Ann Arbor	3
U of Michigan Ann Arbor	U of Illinois at Urbana–Champaign	3
U of Michigan Ann Arbor	U of Michigan	1
Brigham Young U	Brigham Young U	84
Brigham Young U	Texas Tech U	2
Brigham Young U	Texas Tech	3
Brigham Young U	Linfield College	2
Brigham Young U	Midwestern U	3
Lomonosov Moscow State U	Lomonosov Moscow State U	1
U of Missouri - St. Louis	U of Missouri - St. Louis	9
Bangkok U	Bangkok U	1
Bangkok U	Ohio U	1
U of Arkansas at Monticello	U of Arkansas at Monticello	1
U of Arkansas at Monticello	Illinois State U	1
Eindhoven U of Technology	Tilburg U	1
Eindhoven U of Technology	Eindhoven U of Technology	1
Queensland Health	Queensland Health	1
Queensland Health	U of Queensland	2
U of Lisbon	U of Lisbon	1
U of North Carolina	U of Maryland - College Park	1
U of North Carolina	U of North Carolina	3
U of North Carolina	U of Oklahoma	1
U of California - San Francisco	U of California - Santa Barbara	1
U of California - San Francisco	U of Southern California - Annenberg School for Communication	1
U of California - San Francisco	U of Georgia	1
U of California - San Francisco	U of California San Francisco	2
U of California - San Francisco	Stanford U	1
U of California - San Francisco	U of California - San Francisco	3
U of St.Gallen	Hohenheim U	1
U of St.Gallen	BI Norwegian Business School	1
U of St.Gallen	U of St.Gallen	1
U of St.Gallen	U of St. Gallen	1
State U of New York at Cortland	State U of New York at Cortland	2
State U of New York at Cortland	The U of Alabama	2
Microsoft Research	Microsoft Research	1
Microsoft Research	U of Southern California	2
Microsoft Research	Northwestern U	1
Microsoft Research	U of Southern California - Annenberg School for Communication	1
Nanyang Techological U	Nanyang Techological U	4
Nanyang Techological U	Nanyang Technological U	9
Northeastern U	Maastricht U	1
Northeastern U	Northeastern U	57
Northeastern U	U of Pennsylvania	5
Northeastern U	Emerson College	1
Northeastern U	U of Chicago	6
Northeastern U	Jefferson Hoye LLC	6
Northeastern U	Stonehill College	1
Northeastern U	U of Illinois - Chicago	1
Northeastern U	Northwestern U	1
Northeastern U	Radboud U Nijmegen	1
Northeastern U	Radboud U	1
Northeastern U	Massachusetts General Hospital	1
Northeastern U	George Washington U	2
Open Technology Institute	Open Technology Institute	1
Bocconi U	Bocconi U	1
Bocconi U	U della Svizzera italian	2
Rider U	Rider U	2
Rider U	Erasmus U Rotterdam	1
American U in Cairo	American U in Cairo	2
Capital U	Capital U	1
NLA Gimlekollen School of Journalism and Communication	NLA Gimlekollen School of Journalism and Communication	1
U Duisburg-Essen	U Duisburg-Essen	6
U Duisburg-Essen	Pennsylvania State U	1
U Duisburg-Essen	U of Duisburg - Essen	4
U Duisburg-Essen	Chapman U	1
U Duisburg-Essen	U of Duisburg-Essen	7
Purdue U	Texas Tech U	1
Purdue U	Arizona State U	1
Purdue U	Western Kentucky U	4
Purdue U	Utah State U	11
Purdue U	National U of Singapore	1
Purdue U	Stephen F Austin State U	1
Purdue U	U of Texas-Pan American	1
Purdue U	U of Wisconsin-Whitewater	1
Purdue U	unknown	2
Purdue U	Howard U	1
Purdue U	Penn State U	27
Purdue U	Yonsei U	1
Purdue U	Rutgers U	1
Purdue U	U of Maryland	3
Purdue U	DePaul U	1
Purdue U	Ohio	11
Purdue U	U of Leuven	1
Purdue U	Kent State U	1
Purdue U	Central Connecticut State U	1
Purdue U	U of Cincinnati	1
Purdue U	Purdue U	231
Purdue U	Singapore Management U	2
U of Murcia	CES Villanueva	1
U of Murcia	U of Navarra / Intermedia Social Innovation	1
U of Murcia	U Autonoma de Madrid	1
U of Murcia	U of Murcia	1
Cornell U	Portland State U	1
Cornell U	Stanford Prevention Research Center	1
Cornell U	U of Florida	2
Cornell U	Northwestern U	1
Cornell U	U of Illinois	1
Cornell U	Nanyang Technological U	1
Cornell U	Pomona College	1
Cornell U	U of Connecticut	1
Cornell U	Wayne State U	6
Cornell U	U of Minnesota	1
Cornell U	Cornell U	91
Cornell U	U of Pittsburgh	2
National U College Online	National U College Online	1
Bowling Green State U	Sejong U	6
Bowling Green State U	U of North Texas	1
Bowling Green State U	Sogang U	2
Bowling Green State U	Bowling Green State U	57
King's College London	U of Sussex	1
King's College London	King's College London	2
U of Wroclaw	U of Warsaw	1
U of Wroclaw	U of Wroclaw	1
UMass Amherst School of Public Health and Health Sciences	UMass Amherst School of Public Health and Health Sciences	1
UMass Amherst School of Public Health and Health Sciences	U of Massachusetts - Amherst	1
UMass Amherst School of Public Health and Health Sciences	Washington State U	1
U of California - Santa Barbara	Aalto U	2
U of California - Santa Barbara	U of California - Santa Barbara	97
U of California - Santa Barbara	California Lutheran U	1
U of California - Santa Barbara	UC Santa Barbara	2
U of California - Santa Barbara	National Center for Ecological Analysis and Synthesis U of California	1
U of California - Santa Barbara	U of Pennsylvania	2
U of California - Santa Barbara	U Oberta Catalunya	1
U of California - Santa Barbara	U of California Santa Barbara	12
U of California - Santa Barbara	Stanford U	1
U of California - Santa Barbara	Pennsylvania State U	1
U of California - Santa Barbara	Rutgers U	1
U of California - Santa Barbara	U of California at Santa Barbara (UCSB)	2
U of California - Santa Barbara	U of Hawaii at Manoa	1
U of California - Santa Barbara	U of California - San Francisco	1
U of California - Santa Barbara	U of Texas - Austin	3
U of California - Santa Barbara	U of Buffalo - SUNY	2
U of California - Santa Barbara	U of Texas at Austin	2
U of California - Santa Barbara	UC-Santa Barbara	2
U of California - Santa Barbara	U of Amsterdam	1
U of California - Santa Barbara	Miami U - Ohio	1
U of California - Santa Barbara	U of California San Francisco	1
U of California - Santa Barbara	Copenhagen Business School	2
U of California - Santa Barbara	U of Iowa	1
U of Passau	Passau U	2
U of Passau	U of Passau	2
Covenant U	Covenant U	2
Augsburg U	Eberhard Karls U Tuebingen	1
Augsburg U	U of Missouri	1
Augsburg U	U of Haifa	1
Augsburg U	Augsburg U	33
Augsburg U	LMU Munich	2
Augsburg U	U of Oregon	1
Augsburg U	Washington State U	1
Augsburg U	Pennsylvania State U	3
Augsburg U	Penn State U	1
Augsburg U	Johannes Gutenberg U	1
Augsburg U	U of Tuebingen	3
Seoul Institute	U of Pennsylvania	1
Seoul Institute	Seoul Institute	1
Project for Excellence in Journalism	Project for Excellence in Journalism	1
San Jose State U	San Jose State U	2
Central States Communication Association	Central States Communication Association	1
Linfield College	Brigham Young U	2
Linfield College	Texas Tech U	1
Linfield College	Linfield College	1
Asbury U	Ohio State U	1
Asbury U	Asbury U	2
The Cancer Council Victoria	U of Melbourne	2
The Cancer Council Victoria	The Cancer Council Victoria	4
The Cancer Council Victoria	Cancer Council Victoria	2
Colorado State U	Syracuse U	6
Colorado State U	Santa Clara U	1
Colorado State U	Hofstra U	2
Colorado State U	Temple U	4
Colorado State U	West Virginia U	3
Colorado State U	U of Wisconsin-Madison	1
Colorado State U	1st Playable Productions	4
Colorado State U	Colorado State U	26
Colorado State U	U of Arizona	4
Colorado State U	U at Albany SUNY	4
Colorado State U	U at Albany - SUNY	4
EWHA WOMANS UNIVERSITY	EWHA WOMANS UNIVERSITY	1
EWHA WOMANS UNIVERSITY	Ewha Womans U	1
Department of Media  and  Communication	Department of Media  and  Communication	1
Ryerson U	Ryerson U	2
Ryerson U	U of Toronto	1
Ryerson U	National Institute of Informatics Japan	1
MICA	MICA	1
Tel Aviv U	Hebrew U of Jerusalem	3
Tel Aviv U	Ohio State U	1
Tel Aviv U	U of Haifa	1
Tel Aviv U	Tel Aviv U	8
U Mannheim	U Mannheim	5
U Mannheim	U of Mannheim/U of Amsterdam	2
U Mannheim	U of Illinois	2
U Mannheim	U of Mannheim	5
U Mannheim	U of  Mannheim	2
unknown	unknown	1
unknown	Purdue U	2
Tokyo Denki U	Tokyo Denki U	4
PCI Media Impact	U of Texas - El Paso	1
PCI Media Impact	PCI Media Impact	1
Educons U	California State U - San Bernardino	1
Educons U	National School of Political and Administrative Studies	1
Educons U	Educons U	1
Hans-Bredow-Institut	Hans Bredow Institute for Media Research	1
Hans-Bredow-Institut	U of Antwerp	2
Hans-Bredow-Institut	Hans-Bredow-Institut	1
Hans-Bredow-Institut	U of Copenhagen	1
U of Oregon	College of Charleston	1
U of Oregon	Webster U	2
U of Oregon	U of Oregon	38
U of Oregon	U of Missouri	4
U of Oregon	Augsburg U	1
Howard U	Purdue U	1
Howard U	Yonsei U	1
Howard U	Howard U	16
Howard U	City U of Hong Kong	1
Copenhagen Business School; LSE	Copenhagen Business School	2
Copenhagen Business School; LSE	Copenhagen Business School; LSE	2
Bridgewater State U	Bridgewater State U	1
U of Maryland - College Park	U of Maryland - College Park	4
U of Maryland - College Park	U of North Carolina	1
U of Maryland - College Park	U of Southern California	1
U of Maryland - College Park	U of Oklahoma	2
U of Maryland - College Park	U of Maryland	5
USC Annenberg School of Communication and Journalism	USC Annenberg School of Communication and Journalism	1
Santa Clara U	Santa Clara U	5
Santa Clara U	Colorado State U	1
Aalborg U Copenhagen	Aalborg U Copenhagen	5
Peking U	Peking U	5
Peking U	Hunan U	2
Cardiff U	Cardiff U	20
Cardiff U	Cardiff U - JOMEC	14
Florida Southern College	Indiana U East	1
Florida Southern College	Florida Southern College	1
U of Miami	Loyola U Maryland	1
U of Miami	Rutgers U	1
U of Miami	Missouri State U	8
U of Miami	Michigan State U	4
U of Miami	U of Miami	42
U of Miami	U of Minnesota	1
U of Miami	Ewha Womans U	1
Chapman U/U of California - Irvine	Chapman U/U of California - Irvine	1
U of New Hampshire	U of New Hampshire	1
Robert Wood Johnson U Hospital	Rutgers U	8
Robert Wood Johnson U Hospital	Robert Wood Johnson U Hospital	2
iMinds-MICT-UGent	U of Antwerp	3
iMinds-MICT-UGent	MMLab - Ghent U - iMinds	6
iMinds-MICT-UGent	Ruhr U Bochum	1
iMinds-MICT-UGent	Ghent U	4
iMinds-MICT-UGent	iMinds-MICT-UGent	6
VU U -  Amsterdam	VU U -  Amsterdam	5
VU U -  Amsterdam	U of Nottingham	2
VU U -  Amsterdam	Erasmus U Rotterdam	2
VU U -  Amsterdam	VU U Amsterdam	6
VU U -  Amsterdam	U of Amsterdam	2
U of Nottingham	VU U -  Amsterdam	2
U of Nottingham	U of Nottingham	2
Stephen F. Austin U	Stephen F. Austin U	1
Graceland U	Graceland U	2
U of Leuven - School for Mass Communication Research	U of Leuven  - School for Mass Communication Research	1
U of Leuven - School for Mass Communication Research	U of Leuven - School for Mass Communication Research	29
U of Leuven - School for Mass Communication Research	Ghent U	12
U of Leuven - School for Mass Communication Research	ASCoR - U of Amsterdam	2
U of Leuven - School for Mass Communication Research	Catholic U - Leuven	1
U of Leuven - School for Mass Communication Research	Ohio State U	4
U of Leuven - School for Mass Communication Research	U of Leuven	6
Catholic U of Milan	Catholic U of Milan	1
Catholic U of Milan	U Milano Bicocca	1
Catholic U of Milan	U of Zagreb	3
Catholic U of Milan	U degli Studi di Bergamo	1
Catholic U of Milan	Universita' Cattolica del Sacro Cuore	1
North Carolina Agricultural and Technical State U	North Carolina Agricultural and Technical State U	1
North Carolina Agricultural and Technical State U	North Carolina A and T State U	1
Missouri State U	Missouri State U	4
Missouri State U	U of Miami	8
Central Connecticut State U	Arizona State U	1
Central Connecticut State U	U of Texas-Pan American	1
Central Connecticut State U	U of Wisconsin-Whitewater	1
Central Connecticut State U	Central Connecticut State U	1
Central Connecticut State U	U of Cincinnati	1
Central Connecticut State U	Purdue U	1
Central Connecticut State U	DePaul U	1
Central Connecticut State U	National U of Singapore	1
Central Connecticut State U	Ohio	1
Gordon Teachers College	Gordon Teachers College	1
Gordon Teachers College	U of Haifa	1
Radboud U Nijmegen	Maastricht U	1
Radboud U Nijmegen	ASCoR U of Amsterdam	1
Radboud U Nijmegen	U of Twente	2
Radboud U Nijmegen	Indiana U	3
Radboud U Nijmegen	U of Amsterdam	10
Radboud U Nijmegen	Radboud U Nijmegen	42
Radboud U Nijmegen	Radboud Universiteit Nijmegen	1
Radboud U Nijmegen	Radboud U	6
Radboud U Nijmegen	VU U Amsterdam	3
Radboud U Nijmegen	Department of Language and Communication	1
Radboud U Nijmegen	Northeastern U	1
Radboud U Nijmegen	Behavioural Science Institute / Radboud U Nijmegen	2
Radboud U Nijmegen	Behavioural Science Institute	3
Radboud U Nijmegen	NHTV Breda U of Applied Sciences	1
U of Toronto Mississauga	U of Toronto Mississauga	1
U of Toronto Mississauga	U of Toronto	1
Northwestern U in Qatar	Northwestern U in Qatar	8
Northwestern U in Qatar	Northwestern U	1
U of Texas at San Antonio	U of Texas at San Antonio	1
U of Texas at San Antonio	U of North Carolina - Charlotte	1
RMIT U - Vietnam	RMIT U - Vietnam	1
U of Luxembourg	U of Luxembourg	5
Riga Stradins U	Riga Stradins U	2
Riga Stradins U	Central Michigan	2
U of South Carolina Upstate	U of South Carolina Upstate	2
Universidad Diego Portales	Universidad Diego Portales	2
Universidad Diego Portales	Pontificia U Católica de Chile	1
Universidad Diego Portales	Pontificia Universidad Catolica de Chile	1
Universidad Diego Portales	U Diego Portales	3
U of Naples	U of Naples	1
U of Naples	U of Milan-Bicocca	1
City U - Hong Kong	City U of Hong Kong	1
City U - Hong Kong	City U - Hong Kong	2
City U - Hong Kong	Hong Kong Polytechnic U	1
Ben Gurion U of the Negev	Ben Gurion U of the Negev	14
Ben Gurion U of the Negev	Ben-Gurion U of the Negev	17
Rutgers The State U of New Jersey	Rutgers The State U of New Jersey	1
U of Minnesota - Twin Cities	U of Minnesota - Twin Cities	4
U Autonoma de Madrid	CES Villanueva	1
U Autonoma de Madrid	U of Navarra / Intermedia Social Innovation	1
U Autonoma de Madrid	U Autonoma de Madrid	1
U Autonoma de Madrid	U of Murcia	1
Temple U	U of Pennsylvania	2
Temple U	Shanghai International Studies U	1
Temple U	Temple U	26
Temple U	U of Maryland	2
Temple U	Syracuse U	1
Temple U	U of Arizona	4
Temple U	1st Playable Productions	1
Temple U	Colorado State U	4
Temple U	U of Georgia	2
Temple U	U at Albany SUNY	1
Temple U	U at Albany - SUNY	1
The Ohio State U	Michigan State U	1
The Ohio State U	Minnesota State U Mankato	1
The Ohio State U	The Ohio State U	21
The Ohio State U	U of Cincinnati	1
The Ohio State U	Beijing Foreign Studies U	1
The Ohio State U	U of Illinois	1
The Ohio State U	Ohio State U	15
The Ohio State U	U of Minnesota	1
U of Utah	U of Texas at Austin	1
U of Utah	Utah State U	3
U of Utah	U of Utah	25
U of Utah	Moffitt Cancer Center	4
U of Utah	U of Arizona	2
U of Utah	U of Dallas	4
U of Utah	U of Minnesota	1
U of Utah	U of Texas - Austin	1
iMinds-MICT-Ghent U	iMinds-MICT-Ghent U	1
iMinds-MICT-Ghent U	Ghent U	2
U of Illinois at Urbana Champaign	U of Illinois	2
U of Illinois at Urbana Champaign	U of Illinois at Urbana–Champaign	2
U of Illinois at Urbana Champaign	U of Illinois at Urbana-Champaign	1
U of Illinois at Urbana Champaign	U of Illinois at Urbana Champaign	2
JMG U of Gothenburg / The IT U of Copenhagen	U of Minnesota	1
JMG U of Gothenburg / The IT U of Copenhagen	JMG U of Gothenburg / The IT U of Copenhagen	1
Department of Media and Communication	Department of Media and Communication	1
Department of Media and Communication	City U of Hong Kong	1
Bournemouth U	U of Melbourne	1
Bournemouth U	Bournemouth U	4
Bournemouth U	U of Wisconsin-Madison	2
Bournemouth U	U of Groningen	1
Bournemouth U	Warsaw U	1
Bournemouth U	SciencesCom - Audencia Group	2
WKWSCI Nanyang Techonological U	Nanyang Technological U	4
WKWSCI Nanyang Techonological U	WKWSCI Nanyang Techonological U	2
Louisiana State U	U of Alabama - Huntsville	3
Louisiana State U	U of Louisiana at Monroe	1
Louisiana State U	Young Harris College	1
Louisiana State U	Louisiana State U	96
Louisiana State U	Wayne State U	2
Louisiana State U	Pennsylvania State U	3
Louisiana State U	Ohio State U	2
Louisiana State U	California State U - Monterrey Bay	3
Lewis  and  Clark College	Lewis  and  Clark College	1
Goldsmiths U of London	U of Leicester	1
Goldsmiths U of London	Goldsmiths U of London	5
Goldsmiths U of London	U of Maine	1
Goldsmiths U of London	Bowdoin College	2
Goldsmiths U of London	Goldsmiths College U of London	1
Northwood U	Northwood U	1
Northwood U	The U of Virginia - Wise	1
Knowledge Media Research Center	Knowledge Media Research Center	6
Knowledge Media Research Center	U of Tuebingen	8
Knowledge Media Research Center	IWM Tuebingen	2
Knowledge Media Research Center	U of Erfurt	2
Knowledge Media Research Center	Leibniz-Institut fuer Wissensmedien	2
Erasmus U Rotterdam	VU U -  Amsterdam	2
Erasmus U Rotterdam	U of Alabama	1
Erasmus U Rotterdam	U of North Dakota	1
Erasmus U Rotterdam	Rider U	1
Erasmus U Rotterdam	U of Cologne	4
Erasmus U Rotterdam	U of Amsterdam	2
Erasmus U Rotterdam	U of Antwerp	1
Erasmus U Rotterdam	Radboud U	1
Erasmus U Rotterdam	U of Mannheim	1
Erasmus U Rotterdam	Catholic U - Leuven	1
Erasmus U Rotterdam	Tilburg U	1
Erasmus U Rotterdam	Erasmus U Rotterdam	17
Erasmus U Rotterdam	VU U Amsterdam	4
Univ. of Texas at Austin	U of Texas at Austin	1
Univ. of Texas at Austin	Univ. of Texas at Austin	2
Univ. of Texas at Austin	U of Texas - Austin	3
Southern Illinois U - Carbondale	Southern Illinois U - Carbondale	2
Southern Illinois U - Carbondale	U of Wisconsin-Whitewater	1
U of Utrecht	Center on Media and Child Health	2
