source,target,weight
Microsoft Research,U of Southern California,3
Microsoft Research,Northwestern U,1
U Federal de Minas Gerais,U Federal de Minas Gerais,9
U Federal de Minas Gerais,U of Amazonia (Unama),3
U Federal de Minas Gerais,Federal U of Minas Gerais (UFMG),3
U Federal de Minas Gerais,FEDERAL UNIVERSITY OF MINAS GERAIS,3
Northeastern U,Maastricht U,1
Northeastern U,Northeastern U,57
Northeastern U,U of Pennsylvania,5
Northeastern U,Radboud U Nijmegen,2
Northeastern U,U of Chicago,6
Northeastern U,Jefferson Hoye LLC,6
Northeastern U,Stonehill College,1
Northeastern U,Northwestern U,1
Northeastern U,Emerson College,1
Northeastern U,U of Illinois,1
Northeastern U,Massachusetts General Hospital,1
Northeastern U,George Washington U,2
Open Technology Institute,Open Technology Institute,1
U of Antwerp,Hans Bredow Institute for Media Research,2
U of Antwerp,U of Alabama,1
U of Antwerp,U of North Carolina,1
U of Antwerp,Hans-Bredow-Institut,2
U of Antwerp,U of North Dakota,1
U of Antwerp,Erasmus U Rotterdam,1
U of Antwerp,Hebrew U of Jerusalem,1
U of Antwerp,U of Amsterdam,1
U of Antwerp,U of Copenhagen,2
U of Antwerp,LMU Munich,2
U of Antwerp,U of Antwerp,135
U of Antwerp,U of Perugia,2
U of Antwerp,U of Mannheim,1
U of Antwerp,Aarhus U,1
U of Antwerp,U of Salford,2
U of Antwerp,U of Barcelona,1
U of Antwerp,The Hebrew U of Jerusalem,1
U of Antwerp,U of Geneva,2
U of Antwerp,U di Perugia,2
U of Antwerp,U of Southampton,1
U of Antwerp,iMinds-MICT-UGent,3
Rider U,Rider U,2
Rider U,Erasmus U Rotterdam,1
American U in Cairo,American U in Cairo,2
Capital U,Capital U,1
NLA Gimlekollen School of Journalism and Communication,NLA Gimlekollen School of Journalism and Communication,1
U Duisburg-Essen,U Duisburg-Essen,6
U Duisburg-Essen,Pennsylvania State U,1
U Duisburg-Essen,Chapman U,1
U Duisburg-Essen,U of Duisburg,11
Purdue U,Arizona State U,1
Purdue U,Western Kentucky U,4
Purdue U,Utah State U,11
Purdue U,National U of Singapore,1
Purdue U,Stephen F Austin State U,1
Purdue U,unknown,2
Purdue U,Howard U,1
Purdue U,Penn State U,27
Purdue U,U of Texas,1
Purdue U,Yonsei U,1
Purdue U,Rutgers U,1
Purdue U,U of Maryland,3
Purdue U,U of Wisconsin,1
Purdue U,DePaul U,1
Purdue U,U of Leuven,1
Purdue U,Kent State U,1
Purdue U,Central Connecticut State U,1
Purdue U,U of Cincinnati,1
Purdue U,Purdue U,231
Purdue U,Ohio U,11
Purdue U,Texas Tech,1
Purdue U,Singapore Management U,2
U of Murcia,CES Villanueva,1
U of Murcia,U of Navarra / Intermedia Social Innovation,1
U of Murcia,U Autonoma de Madrid,1
U of Murcia,U of Murcia,1
Cornell U,Portland State U,1
Cornell U,U of Florida,2
Cornell U,Northwestern U,1
Cornell U,U of Illinois,1
Cornell U,Nanyang Technological U,1
Cornell U,Pomona College,1
Cornell U,U of Connecticut,1
Cornell U,Stanford U,1
Cornell U,Wayne State U,6
Cornell U,U of Minnesota,1
Cornell U,Cornell U,91
Cornell U,U of Pittsburgh,2
National U College Online,National U College Online,1
Bowling Green State U,Sejong U,6
Bowling Green State U,U of North Texas,1
Bowling Green State U,Sogang U,2
Bowling Green State U,Bowling Green State U,57
King's College London,U of Sussex,1
King's College London,King's College London,2
U of Wroclaw,U of Warsaw,1
U of Wroclaw,U of Wroclaw,1
UMass Amherst School of Public Health and Health Sciences,UMass Amherst School of Public Health and Health Sciences,1
UMass Amherst School of Public Health and Health Sciences,U of Massachusetts,1
UMass Amherst School of Public Health and Health Sciences,Washington State U,1
U of Passau,Passau U,2
U of Passau,U of Passau,2
New York U,U of California,1
New York U,U of Westminster,1
New York U,New York U,17
New York U,Ohio U,1
Covenant U,Covenant U,2
Augsburg U,LMU Munich,2
Augsburg U,U of Missouri,1
Augsburg U,U of Tubingen,3
Augsburg U,Augsburg U,33
Augsburg U,U of Haifa,1
Augsburg U,U of Oregon,1
Augsburg U,Washington State U,1
Augsburg U,Pennsylvania State U,3
Augsburg U,Penn State U,1
Augsburg U,Johannes Gutenberg U,1
Augsburg U,U of Teubingen,1
Seoul Institute,U of Pennsylvania,1
Seoul Institute,Seoul Institute,1
U Hospital Careggi,U of Bologna,1
U Hospital Careggi,U Hospital Careggi,1
San Jose State U,San Jose State U,2
Central States Communication Association,Central States Communication Association,1
Linfield College,Brigham Young U,2
Linfield College,Texas Tech,1
Linfield College,Linfield College,1
Asbury U,Ohio State U,1
Asbury U,Asbury U,2
The Cancer Council Victoria,U of Melbourne,2
The Cancer Council Victoria,The Cancer Council Victoria,4
The Cancer Council Victoria,Cancer Council Victoria,2
Colorado State U,Syracuse U,6
Colorado State U,SUNY,8
Colorado State U,Santa Clara U,1
Colorado State U,Hofstra U,2
Colorado State U,Temple U,4
Colorado State U,West Virginia U,3
Colorado State U,U of Wisconsin,1
Colorado State U,Colorado State U,26
Colorado State U,U of Arizona,4
Colorado State U,1st Playable Productions,4
EWHA WOMANS UNIVERSITY,EWHA WOMANS UNIVERSITY,1
EWHA WOMANS UNIVERSITY,Ewha Womans U,1
Department of Media  and  Communication,Department of Media  and  Communication,1
U of Minnesota,U of Texas,1
U of Minnesota,Jacksonville U,1
U of Minnesota,Ohio State U,1
U of Minnesota,JMG U of Gothenburg / The IT U of Copenhagen,1
U of Minnesota,U of Cincinnati,1
U of Minnesota,Minnesota State U Mankato,1
U of Minnesota,Marquette U,2
U of Minnesota,The Ohio State U,1
U of Minnesota,U of Utah,1
U of Minnesota,Indiana U,1
U of Minnesota,U of Miami,1
U of Minnesota,U of Minnesota,51
U of Minnesota,Cornell U,1
MICA,MICA,1
U Mannheim,U Mannheim,5
U Mannheim,U of Illinois,2
U Mannheim,U of Mannheim,7
U Mannheim,U of  Mannheim,2
unknown,unknown,1
unknown,Purdue U,2
Tokyo Denki U,Tokyo Denki U,4
PCI Media Impact,U of Texas,1
PCI Media Impact,PCI Media Impact,1
Educons U,National School of Political and Administrative Studies,1
Educons U,California State U,1
Educons U,Educons U,1
Hans-Bredow-Institut,Hans Bredow Institute for Media Research,1
Hans-Bredow-Institut,U of Antwerp,2
Hans-Bredow-Institut,Hans-Bredow-Institut,1
Hans-Bredow-Institut,U of Copenhagen,1
U of Oregon,College of Charleston,1
U of Oregon,Webster U,2
U of Oregon,U of Oregon,38
U of Oregon,U of Missouri,4
U of Oregon,Augsburg U,1
Howard U,Purdue U,1
Howard U,Yonsei U,1
Howard U,Howard U,16
Howard U,City U of Hong Kong,1
Bridgewater State U,Bridgewater State U,1
Portland State U,Portland State U,13
Portland State U,PVI,1
Portland State U,U of Southern California,2
Portland State U,Cornell U,1
Portland State U,Community Health Councils,3
Santa Clara U,Santa Clara U,5
Santa Clara U,Colorado State U,1
Aalborg U Copenhagen,Aalborg U Copenhagen,5
Peking U,Peking U,5
Peking U,Hunan U,2
Cardiff U,Cardiff U,60
Cardiff U,Birmingham City U,2
Florida Southern College,Indiana U East,1
Florida Southern College,Florida Southern College,1
U of Miami,Loyola U Maryland,1
U of Miami,Rutgers U,1
U of Miami,Missouri State U,8
U of Miami,Michigan State U,4
U of Miami,U of Miami,42
U of Miami,U of Minnesota,1
U of Miami,Ewha Womans U,1
Claflin U,Claflin U,1
Claflin U,Towson U,1
U of New Hampshire,U of New Hampshire,1
Robert Wood Johnson U Hospital,Rutgers U,8
Robert Wood Johnson U Hospital,Robert Wood Johnson U Hospital,2
iMinds-MICT-UGent,U of Antwerp,3
iMinds-MICT-UGent,MMLab - Ghent U - iMinds,6
iMinds-MICT-UGent,Ruhr U Bochum,1
iMinds-MICT-UGent,Ghent U,4
iMinds-MICT-UGent,iMinds-MICT-UGent,6
U of Nottingham,U of Nottingham,2
U of Nottingham,VU U Amsterdam,2
Univ of MO,Univ of MO,2
Graceland U,Graceland U,2
Catholic U of Milan,Catholic U of Milan,1
Catholic U of Milan,U Milano Bicocca,1
Catholic U of Milan,U of Zagreb,3
Catholic U of Milan,U degli Studi di Bergamo,1
Catholic U of Milan,Universita' Cattolica del Sacro Cuore,1
Missouri State U,Missouri State U,4
Missouri State U,U of Miami,8
Central Connecticut State U,Arizona State U,1
Central Connecticut State U,Ohio U,1
Central Connecticut State U,U of Texas,1
Central Connecticut State U,Central Connecticut State U,1
Central Connecticut State U,U of Cincinnati,1
Central Connecticut State U,U of Wisconsin,1
Central Connecticut State U,Purdue U,1
Central Connecticut State U,DePaul U,1
Central Connecticut State U,National U of Singapore,1
Gordon Teachers College,Gordon Teachers College,1
Gordon Teachers College,U of Haifa,1
Radboud U Nijmegen,Maastricht U,2
Radboud U Nijmegen,Northeastern U,2
Radboud U Nijmegen,U of Twente,3
Radboud U Nijmegen,Erasmus U Rotterdam,1
Radboud U Nijmegen,U of Amsterdam,18
Radboud U Nijmegen,Radboud U Nijmegen,85
Radboud U Nijmegen,Indiana U,3
Radboud U Nijmegen,VU U Amsterdam,10
Radboud U Nijmegen,Department of Language and Communication,1
Radboud U Nijmegen,Tilburg U,1
Radboud U Nijmegen,NHTV Breda U of Applied Sciences,4
American U of Central Asia,American U of Central Asia,4
Northwestern U in Qatar,Northwestern U in Qatar,8
Northwestern U in Qatar,Northwestern U,1
U of Luxembourg,U of Luxembourg,5
Riga Stradins U,Central Michigan U,2
Riga Stradins U,Riga Stradins U,2
U of Oklahoma,U of California,26
U of Oklahoma,U of Southern California,1
U of Oklahoma,U of North Carolina,1
U of Oklahoma,U of Texas,1
U of Oklahoma,Arizona State U,11
U of Oklahoma,Imperial College London,6
U of Oklahoma,Texas Christian U,1
U of Oklahoma,National U of Singapore,1
U of Oklahoma,U of Maryland,6
U of Oklahoma,Syracuse U,2
U of Oklahoma,Pontificia U Catlica de Chile,1
U of Oklahoma,Rutgers U,2
U of Oklahoma,U of Florida,15
U of Oklahoma,U of Arizona,34
U of Oklahoma,Salem State U,6
U of Oklahoma,The U of Oklahoma,12
U of Oklahoma,Pepperdine U,2
U of Oklahoma,Montclair State U,2
U of Oklahoma,U of Oklahoma,276
Universidad Diego Portales,Universidad Diego Portales,2
Universidad Diego Portales,Pontificia U Catlica de Chile,1
Universidad Diego Portales,Pontificia Universidad Catolica de Chile,1
Universidad Diego Portales,U Diego Portales,3
U of Naples,U of Naples,1
U of Naples,U of Milan-Bicocca,1
City U - Hong Kong,City U of Hong Kong,1
City U - Hong Kong,City U - Hong Kong,2
City U - Hong Kong,Hong Kong Polytechnic U,1
Ben Gurion U of the Negev,Ben Gurion U of the Negev,72
Ben Gurion U of the Negev,U Lusfona,1
Ben Gurion U of the Negev,Lusofona U,1
Ben Gurion U of the Negev,Hebrew U - Mt. Scopus,1
Ben Gurion U of the Negev,College of Management Academic Studies,1
Bangladesh Center for Communication Programs,Bangladesh Center for Communication Programs,9
Shanghai Jiao Tong U,West Virginia U,2
Shanghai Jiao Tong U,Shanghai Jiao Tong U,4
U Autonoma de Madrid,CES Villanueva,1
U Autonoma de Madrid,U of Navarra / Intermedia Social Innovation,1
U Autonoma de Madrid,U Autonoma de Madrid,1
U Autonoma de Madrid,U of Murcia,1
Temple U,SUNY,2
Temple U,U of Pennsylvania,2
Temple U,Shanghai International Studies U,1
Temple U,Temple U,26
Temple U,U of Maryland,2
Temple U,Syracuse U,1
Temple U,U of Arizona,4
Temple U,Colorado State U,4
Temple U,U of Georgia,2
Temple U,1st Playable Productions,1
The Ohio State U,Michigan State U,1
The Ohio State U,Minnesota State U Mankato,1
The Ohio State U,The Ohio State U,21
The Ohio State U,U of Cincinnati,1
The Ohio State U,Beijing Foreign Studies U,1
The Ohio State U,U of Illinois,1
The Ohio State U,Ohio State U,15
The Ohio State U,U of Minnesota,1
U of Utah,U of Texas,2
U of Utah,U of California,3
U of Utah,Utah State U,3
U of Utah,U of Utah,28
U of Utah,Moffitt Cancer Center,4
U of Utah,U of Arizona,2
U of Utah,U of Dallas,4
U of Utah,U of Minnesota,1
iMinds-MICT-Ghent U,iMinds-MICT-Ghent U,1
iMinds-MICT-Ghent U,Ghent U,2
Northern Kentucky U,Korea U,2
Northern Kentucky U,U of Arizona,2
Northern Kentucky U,Northern Kentucky U,7
Northern Kentucky U,U of Georgia,2
Northern Kentucky U,U of Kentucky,1
Northern Kentucky U,U of Michigan,4
JMG U of Gothenburg / The IT U of Copenhagen,U of Minnesota,1
JMG U of Gothenburg / The IT U of Copenhagen,JMG U of Gothenburg / The IT U of Copenhagen,1
Department of Media and Communication,Department of Media and Communication,1
Department of Media and Communication,City U of Hong Kong,1
Bournemouth U,U of Melbourne,1
Bournemouth U,Bournemouth U,4
Bournemouth U,U of Wisconsin,2
Bournemouth U,U of Groningen,1
Bournemouth U,Warsaw U,1
Bournemouth U,SciencesCom - Audencia Group,2
WKWSCI Nanyang Techonological U,Nanyang Technological U,4
WKWSCI Nanyang Techonological U,WKWSCI Nanyang Techonological U,2
Louisiana State U,U of Alabama,3
Louisiana State U,California State U,3
Louisiana State U,U of Louisiana at Monroe,1
Louisiana State U,Young Harris College,1
Louisiana State U,Wayne State U,2
Louisiana State U,Pennsylvania State U,3
Louisiana State U,Ohio State U,2
Louisiana State U,Louisiana State U,96
Lewis  and  Clark College,Lewis  and  Clark College,1
Goldsmiths U of London,U of Leicester,1
Goldsmiths U of London,Goldsmiths U of London,5
Goldsmiths U of London,U of Maine,1
Goldsmiths U of London,Bowdoin College,2
Goldsmiths U of London,Goldsmiths College U of London,1
U of Duisburg,U Duisburg-Essen,11
U of Duisburg,Pennsylvania State U,4
U of Duisburg,Chapman U,1
U of Duisburg,U of Duisburg,53
Northwood U,Northwood U,1
Northwood U,The U of Virginia - Wise,1
Knowledge Media Research Center,Knowledge Media Research Center,6
Knowledge Media Research Center,U of Tubingen,8
Knowledge Media Research Center,Leibniz-Institut fuer Wissensmedien,2
Knowledge Media Research Center,U of Erfurt,2
Knowledge Media Research Center,U of Teubingen,2
Erasmus U Rotterdam,U of Alabama,1
Erasmus U Rotterdam,U of North Dakota,1
Erasmus U Rotterdam,Radboud U Nijmegen,1
Erasmus U Rotterdam,Rutgers U,1
Erasmus U Rotterdam,Rider U,1
Erasmus U Rotterdam,U of Cologne,4
Erasmus U Rotterdam,U of Amsterdam,4
Erasmus U Rotterdam,U of Antwerp,1
Erasmus U Rotterdam,U of Mannheim,1
Erasmus U Rotterdam,Catholic U - Leuven,1
Erasmus U Rotterdam,Tilburg U,1
Erasmus U Rotterdam,Erasmus U Rotterdam,18
Erasmus U Rotterdam,VU U Amsterdam,6
Univ. of Texas at Austin,U of Texas,4
Univ. of Texas at Austin,Univ. of Texas at Austin,2
U of Utrecht,Center on Media and Child Health,2
U of Utrecht,U of Utrecht,2
U of Utrecht,Boston Children's Hospital,2
U of Utrecht,Utrecht U,5
Creighton U,Creighton U,2
Creighton U,Taskstream,1
Creighton U,Arizona State U,2
U degli Studi di Bergamo,Catholic U of Milan,1
U degli Studi di Bergamo,U Milano Bicocca,1
U degli Studi di Bergamo,U of Zagreb,3
U degli Studi di Bergamo,U degli Studi di Bergamo,1
U degli Studi di Bergamo,Universita' Cattolica del Sacro Cuore,1
Carleton U,Rutgers U,2
Carleton U,Carleton U,2
New School of Public Engagement,New School of Public Engagement,1
New School of Public Engagement,Texas A and M U,1
Roanoke College,Roanoke College,1
Massachusetts General Hospital,Emerson College,1
Massachusetts General Hospital,Massachusetts General Hospital,1
Massachusetts General Hospital,Northeastern U,1
Massachusetts General Hospital,U of Pennsylvania,5
SciencesCom - Audencia Group,Warsaw U,1
SciencesCom - Audencia Group,U of Wisconsin,2
SciencesCom - Audencia Group,Bournemouth U,2
SciencesCom - Audencia Group,SciencesCom - Audencia Group,2
Fayetteville State U,Fayetteville State U,1
U of Texas,Arizona State U,1
U of Texas,U of California,5
U of Texas,California State U,1
U of Texas,U of Utah,2
U of Texas,The U of Texas at Austin,19
U of Texas,VU U Amsterdam,2
U of Texas,National U of Singapore,1
U of Texas,Boston U,1
U of Texas,U of Haifa,1
U of Texas,School of Sustainability IDC,2
U of Texas,U of Illinois,1
U of Texas,U of Vienna,1
U of Texas,U Municipal de Sao Caetano do Sul,6
U of Texas,PCI Media Impact,1
U of Texas,Univ. of Texas at Austin,4
U of Texas,Pontificia U Catlica de Chile,1
U of Texas,Indiana U,6
U of Texas,Columbia U,2
U of Texas,Texas State U,6
U of Texas,U of Georgia,1
U of Texas,U of Washington,2
U of Texas,U of Texas,285
U of Texas,SUNY,4
U of Texas,Rutgers U,1
U of Texas,UNESP-Faculdade de Filosofia e Letras,1
U of Texas,U of Erfurt,3
U of Texas,Michigan State U,7
U of Texas,San Diego State U,1
U of Texas,U of Bremen,1
U of Texas,U of Wisconsin,1
U of Texas,Nanyang Technological U,1
U of Texas,Northwestern U,1
U of Texas,DePaul U,1
U of Texas,U of Minho,2
U of Texas,U of Minnesota,1
U of Texas,U of Alabama,2
U of Texas,UT Austin,1
U of Texas,U of North Carolina,1
U of Texas,Fudan U,1
U of Texas,The Chinese U of Hong Kong,1
U of Texas,U of Amsterdam,1
U of Texas,Central Connecticut State U,1
U of Texas,U of Cincinnati,1
U of Texas,Purdue U,1
U of Texas,Ohio U,3
U of Texas,U of Oklahoma,1
Stockholm U,Stockholm U,5
College of Charleston,College of Charleston,3
College of Charleston,U of Oregon,1
College of Charleston,North Carolina State U,1
Florida International U,Michigan State U,4
Florida International U,Florida International U,24
Florida International U,Towson U,1
Florida International U,St. Norbert College,1
Florida International U,Federation of Families - Miami-Dade County,1
U Ramon Llull,U Libre de Bruxelles,1
U Ramon Llull,U de Mlaga,1
U Ramon Llull,U Ramon Llull,1
Murray State U,Clemson U,1
Murray State U,U of Tennessee,1
Murray State U,Murray State U,1
Xavier U of Louisiana,Xavier U of Louisiana,1
Middle Tennessee State U,James Madison U,2
Middle Tennessee State U,Middle Tennessee State U,2
Syracuse U,West Virginia U,1
Syracuse U,U of Southern California,5
Syracuse U,SUNY,2
Syracuse U,Hofstra U,1
Syracuse U,Rensselaer Polytechnic Institute,1
Syracuse U,U of Florida,4
Syracuse U,Temple U,1
Syracuse U,Syracuse U,80
Syracuse U,Marist College,2
Syracuse U,Sungkyunkwan U,2
Syracuse U,U of Kansas,1
Syracuse U,Colorado State U,6
Syracuse U,U of Arizona,1
Syracuse U,U of Iowa,1
Syracuse U,Penn State U,2
Syracuse U,Montclair State U,2
Syracuse U,1st Playable Productions,1
Syracuse U,U of Oklahoma,2
U Autnoma de Nuevo Len,Political Communication Lab (LACOP),2
U Autnoma de Nuevo Len,U Autnoma de Nuevo Len,5
Centre for Interdisciplinary Studies in Society and Culture Concordia U,Centre for Interdisciplinary Studies in Society and Culture Concordia U,1
Centre for Interdisciplinary Studies in Society and Culture Concordia U,Communication U of China,1
TU Dresden,TU Dresden,17
TU Dresden,Technische Universitt Dresden,4
Rochester Institute of Technology,Rochester Institute of Technology,6
Rochester Institute of Technology,Florida State U,2
Central Michigan U,Central Michigan U,7
Central Michigan U,National Research U High School of Economics,1
Central Michigan U,U of Missouri,2
Central Michigan U,George Mason U,1
Central Michigan U,Quinnipiac U,1
Central Michigan U,Riga Stradins U,2
Michigan State U,California State U,4
Michigan State U,The Ohio State U,1
Michigan State U,The U of Texas at Austin,2
Michigan State U,Beijing Foreign Studies U,1
Michigan State U,U of Haifa,2
Michigan State U,Fors Marsh Group,4
Michigan State U,Indiana U,2
Michigan State U,U of South Carolina,1
Michigan State U,U of Georgia,1
Michigan State U,Pennsylvania State U,1
Michigan State U,U of Texas,7
Michigan State U,George Washington U,5
Michigan State U,U of Memphis,2
Michigan State U,Florida International U,4
Michigan State U,U of Cologne,2
Michigan State U,Michigan State U,459
Michigan State U,U of Wisconsin,3
Michigan State U,Nanyang Technological U,3
Michigan State U,U of Miami,4
Michigan State U,U of Alabama,7
Michigan State U,U of Southern California,1
Michigan State U,Ohio State U,2
Michigan State U,U of Tennessee,1
Michigan State U,Western Illinois U,5
Michigan State U,Washington State U,4
Michigan State U,U of Iowa,4
Michigan State U,Texas Tech,2
The U of Michigan,The U of Michigan,1
The U of Michigan,Indiana U,1
The U of Michigan,U of Pennsylvania,2
The U of Michigan,U of Michigan,1
U of Waikato,Fairfield U,1
U of Waikato,Rauawaawa Kaumatua Charitable Trust,2
U of Waikato,U of Waikato,7
U of Waikato,California State U,1
U of Waikato,Central China Normal U,1
U of Waikato,Waikato Tainui College,2
The Chinese U of Hong Kong,U of Alabama,2
The Chinese U of Hong Kong,Hong Kong Baptist U,1
The Chinese U of Hong Kong,U of Florida,1
The Chinese U of Hong Kong,U of Texas,1
The Chinese U of Hong Kong,The Chinese U of Hong Kong,37
The Chinese U of Hong Kong,U of Vienna,1
The Chinese U of Hong Kong,Room 517,1
The Chinese U of Hong Kong,U of Tampere,1
The Chinese U of Hong Kong,Hongik U,2
The Chinese U of Hong Kong,Sun Yat-sen U,1
The Chinese U of Hong Kong,Chinese U of Hong Kong,5
The Chinese U of Hong Kong,Texas State U,3
West Virginia U,Syracuse U,1
West Virginia U,Hofstra U,1
West Virginia U,North Dakota State U,2
West Virginia U,Hongik U,1
West Virginia U,Shanghai Jiao Tong U,2
West Virginia U,Korea U,1
West Virginia U,West Virginia U,35
West Virginia U,U of South Carolina,2
West Virginia U,Colorado State U,3
West Virginia U,U of Georgia,1
West Virginia U,Georgia State U,1
West Virginia U,U of Maryland,4
Webster U,Webster U,2
Webster U,U of Oregon,2
Webster U,U of Missouri,3
U of Dallas,U of Utah,4
U of Dallas,U of Dallas,1
U of Dallas,Moffitt Cancer Center,1
Denver Health,U of Connecticut,2
Denver Health,U of Maryland,2
Denver Health,Denver Health,2
Lomonosov Moscow State U,Lomonosov Moscow State U,1
Ithaca College,U of North Carolina,2
Ithaca College,Ithaca College,1
U of the West Indies,U of the West Indies,1
U of the West Indies,U of West Indies,1
Indiana U Pennsylvania,Indiana U Pennsylvania,1
Indiana U Pennsylvania,Indiana U of Pennsylvania,2
Political Communication Lab (LACOP),Political Communication Lab (LACOP),1
Political Communication Lab (LACOP),U Autnoma de Nuevo Len,2
Morehouse U,U of Georgia,13
Morehouse U,Emory U,9
Morehouse U,Morehouse U,3
Morehouse U,Spelman College,3
IULM U,U of North Carolina,1
IULM U,IULM U,1
IULM U,Aarhus U,1
Maastricht U,Maastricht U,10
Maastricht U,Northeastern U,1
Maastricht U,U of Amsterdam,3
Maastricht U,Radboud U Nijmegen,2
U of HoustonDowntown,U of HoustonDowntown,1
London School of Economics and Political Science,U of Twente,1
London School of Economics and Political Science,London School of Economics and Political Science,6
London School of Economics and Political Science,U of Oxford,1
St. Lawrence U,St. Lawrence U,1
U of West Indies,U of the West Indies,1
U of West Indies,U of West Indies,1
Oklahoma City U,Oklahoma City U,1
U of Northern Colorado,U of Northern Colorado,3
Goldsmiths College U of London,U of Leicester,1
Goldsmiths College U of London,Goldsmiths U of London,1
Goldsmiths College U of London,Goldsmiths College U of London,2
Universite de Montreal,U de Montreal,2
Universite de Montreal,Universite de Montreal,4
U of Canterbury,U of Canterbury,3
U of Canterbury,Osaka U,2
U of Vienna,German Sport U Cologne,2
U of Vienna,U of Texas,1
U of Vienna,U of Vienna,128
U of Vienna,National School of Political and Administrative Studies,1
U of Vienna,The Chinese U of Hong Kong,1
U of Vienna,U of Hamburg,2
U of Vienna,U of Amsterdam,15
U of Vienna,LMU Munich,13
U of Vienna,U of Bremen,1
U of Vienna,VU U Amsterdam,1
U of Vienna,Comenius U Bratislava,1
U of Vienna,Austrian Academy of Sciences - Institute for Comparative Media and Communication Studies,3
U of Vienna,U of Zurich,6
U of Vienna,Johannes Gutenberg U,2
U of Kassel,U of Koblenz-Landau,4
U of Kassel,U of Kassel,4
KAIST,KAIST,41
KAIST,Washington State U,1
U della Svizzera italian,Universita' della Svizzera Italiana,2
U della Svizzera italian,U della Svizzera italian,10
U della Svizzera italian,U of Erfurt,1
U della Svizzera italian,LMU Munich,1
U della Svizzera italian,Bocconi U,2
U della Svizzera italian,Universita della Svizzera italiana,1
U of the Philippines,Agency for Science Technology and Research,3
U of the Philippines,U of Leicester,2
U of the Philippines,U of the Philippines,3
Bowie State U,Bowie State U,2
Catholic U of America,Catholic U of America,1
Democritus U of Thrace,U of Malaga,1
Democritus U of Thrace,Aristotle U of Thessaloniki,2
Democritus U of Thrace,U Rey Juan Carlos,1
Democritus U of Thrace,Democritus U of Thrace,1
U Diego Portales,Universidad Diego Portales,3
U Diego Portales,Pontificia U Catlica de Chile,1
U Diego Portales,Media and Communication,1
U Diego Portales,Pontificia Universidad Catolica de Chile,1
U Diego Portales,U Diego Portales,9
U of Warsaw,U of Warsaw,1
U of Warsaw,U of Wroclaw,1
U of Tampere,The Chinese U of Hong Kong,1
U of Tampere,U of Tampere,16
U of Tampere,Trent U,2
U of the Witwatersrand Johannesburg,U of the Witwatersrand Johannesburg,2
PVI,Portland State U,1
PVI,PVI,1
Weber State U,Weber State U,1
U of Osnabrueck,U Koblenz-Landau,1
U of Osnabrueck,Ars Electronica Futurelab,1
U of Osnabrueck,U of Osnabrueck,1
U of Osnabrueck,U of Koblenz-Landau,2
Federal U of Minas Gerais (UFMG),U Federal de Minas Gerais,3
Federal U of Minas Gerais (UFMG),U of Amazonia (Unama),1
Federal U of Minas Gerais (UFMG),Federal U of Minas Gerais (UFMG),1
Federal U of Minas Gerais (UFMG),FEDERAL UNIVERSITY OF MINAS GERAIS,1
Jacksonville U,Jacksonville U,1
Jacksonville U,U of Minnesota,1
Common Sense Media,Common Sense Media,1
U of Bielefeld,Hanover U of Music Drama and Media,1
U of Bielefeld,U of Freiburg,1
U of Bielefeld,U of Music,1
U of Bielefeld,U of Music Drama and Media (Department of Journalism and Communication Research),1
U of Bielefeld,U of Erfurt,1
U of Bielefeld,U of Bielefeld,3
Open U of Israel,Open U of Israel,4
Massey U,Southern Methodist U,2
Massey U,George Mason U,4
Massey U,Metropolitan State U of Denver,1
Massey U,Massey U,16
Massey U,Utah State U,2
Massey U,National U of Singapore,3
Massey U,Yale U,2
U of Milan-Bicocca,U of Naples,1
U of Milan-Bicocca,U of Milan-Bicocca,1
LMU Munich,U of Duesseldorf,2
LMU Munich,U of Vienna,13
LMU Munich,U of Jena,4
LMU Munich,Queensland U of Techology,2
LMU Munich,Hebrew U of Jerusalem,1
LMU Munich,U of Freiburg,2
LMU Munich,U della Svizzera italian,1
LMU Munich,Johannes Gutenberg U,2
LMU Munich,UNIVERSITE LIBRE DE BRUXELLES,3
LMU Munich,U of Erfurt,1
LMU Munich,LMU Munich,132
LMU Munich,U of Antwerp,2
LMU Munich,U of Wisconsin,2
LMU Munich,U of Mannheim,2
LMU Munich,Hans Bredow Institute,3
LMU Munich,Jacobs U,1
LMU Munich,U of Zurich,1
LMU Munich,Pennsylvania State U,2
LMU Munich,Augsburg U,2
LMU Munich,U of Mainz,2
LMU Munich,U of the Federal German Army,2
U of Helsinki,U of Macau,1
U of Helsinki,U of Helsinki,1
Marquette U,Arizona State U,2
Marquette U,U of Minnesota,2
Marquette U,Marquette U,2
U Rey Juan Carlos,U of Malaga,1
U Rey Juan Carlos,Aristotle U of Thessaloniki,2
U Rey Juan Carlos,U Rey Juan Carlos,10
U Rey Juan Carlos,Democritus U of Thrace,1
Austrian Academy of Sciences - Institute for Comparative Media and Communication Studies,Austrian Academy of Sciences - Institute for Comparative Media and Communication Studies,1
Austrian Academy of Sciences - Institute for Comparative Media and Communication Studies,U of Vienna,3
Leiden U,Leiden U,12
Leiden U,VU U Amsterdam,2
Leiden U,U of Amsterdam,9
Leiden U,U of Groningen,1
U of Salford,U of Antwerp,2
U of Salford,U of Salford,1
U of Salford,U of Perugia,1
U of Salford,U di Perugia,1
Virginia Commonwealth U,U of Colorado,3
Virginia Commonwealth U,AIDS Help Inc.,3
